english,twi
decade,mfenhyia du
debit,te sika firi fotoɔ mu
debtor,ɔkafoɔ
debut,dwumadie a ɛdi kan
decoration,asiesie
deface,sɛe ani
defame,sɛe din
deceive,daadaa
dementia,adwenemuka
delude,daadaa
defile,gu fi
delegate,nanmusini
defamation,edinsɛeɛ
delegation,ananmusifoɔ
den,ɛbɔn
depend,de ho to so
depart,kɔ
department,nkorabata
deposit,ntoaseɛ
dependable,deɛ ne mu wɔ ahotɔsoɔ
depict,kyerɛ
deplete,ma ɛsa
depress,ma werɛ ho
deplore,kasa tia
deplorable,deɛ ɛnyɛ koraa
deport,pamo
depot,akoraeɛ
depreciate,ma ɛso te
depreciable,deɛ ɛso tumi te
deprive,kame
depth,emu dɔ
depute,de obi si w ananmu
deputation,ananmusifoɔ
derail,ma keteke te firi n akwan mu
deride,si atwetwe
deny,ɛnnye ntom
denominate,bɔ din
denomination,ɔsom kuo
denote,gyina hɔ ma
denounce,kasa tia
dense,deɛ apee so
dentist,ɛse dɔkota
denude,gye ne nyinaa
demean,bu animtia
deodorant,honam nka bɔne aduro
delusion,ntorɔ
deluxe,adepa a ne boɔ yɛ den
delve,wura mu
demand,bisa
demarcate,to hyeɛ
demeanour,su
dement,bɔ dam
demented,deɛ n adwene mu ka no
demise,owuo
democracy,ka bi ma menka bi amammuo
demolish,dwiri gu
delete,popa
demolition,dwiriguo
demon,sunsummɔne
delicious,ɛyɛ dɛ
demonstrate,yi kyerɛ
demonstration,ɔyɛkyerɛ
demoralize,bu abam
demote,te obi dibea so
deliberate,deɛ woahyɛ da ayɛ
delicate,deɛ ɛhia ahwɛyie
delight,gye obi ani
delinquent,deɛ ɔbu mmara so
delinquency,bɔne
deliver,di wo bɔhyɛ so
define,kyerɛ mu
definition,nkyerɛmu
deflect,firi kwantene so
deflate,dwo
definite,deɛ emu da hɔ pefee
deform,di dɛm
deformity,ɛdɛm
defraud,bu
defray,tua ka
defunct,deɛ atwa mu
defy,bu so
degrade,gu anim ase
degenerate,sɛe koraa
degree,ntwahohyia nkyekyɛmu
dehydrate,ma nipadua mu nsuo we
dehydration,nipadua mu nsuweɛ
deject,ma werɛ ho
dejected,deɛ ne werɛ ahoɔ
delay,twentwɛn so
defect,ɛdɛm
decorous,deɛ obuo wɔ mu
defer,tu hyɛ da
defend,bɔ biribi ho ban
defiant,deɛ ɔyɛ asobrakyeɛ
defiance,asobrakyeɛ
deficient,deɛ ɛtɔ sini
deficit,ɛka
decrease,te so
decree,ɔhyɛ mmara
decry,kasa tia
decrepit,deɛ wanyini ayɛ mmerɛ
dedicate,tu ho hyɛ
declare,pae mu ka
deduct,te firi mu
deed,nneyɛɛ
deem,susu
decompose,porɔ
decent,deɛ ɛyɛ
deception,nnaadaa
decide,fa adwen
decline,ba fam
decomposition,porɔeɛ
decorate,siesie
decadent,deɛ ɛrekɔ fam
decalogue,mmara nsɛm du
decamp,dwane
decapitate,twa tire
debate,gye akyinnyeɛ
decay,porɔ
decease,owuo
deacon,ɔsɔfokumaa
deaf,deɛ n aso asie
dear,da akoma so
debase,brɛ ase te so
debar,si kwan
debauch,de kɔ ɔsɛeɛ mu
dealer,odwadifoɔ
debilitate,ma obi yɛ mmerɛ
debility,mmerɛwyɛ
devil,ɔbonsam
desist,gyae yɛ
desire,ɔpɛ
destined,deɛ ɛsɛ sɛ ɛba
destitute,deɛ ahia no buruburoo
determine,hwehwɛ mu hunu
determined,deɛ wasi ne bo
dialect,ɔfa bi kasabea
diagnose,hwehwɛ mu hunu
dialogue,baanu nkɔmmɔ
dilute,fra mu
dim,deɛ ani dum
disappoint,di hwammɔ
disappointment,hwammɔ
disapprove,kyerɛ sɛ wo ne biribi obi nyɛ adwene
disentangle,sane
dislocate,hwane
dislocation,firikyie
dismantle,tutu
dismember,twa nsa
dismiss,yi adi
disgrace,gu anim ase
insurance,nsiakyibaa
heir,odideɛfoɔ
jab,wɔ
jack,pagyadadeɛ
jail,efiase
disfigure,sɛe ani
disgorge,fe
dishevel,pɛsɛpɛsɛ nwi
dishearten,bu aba mu
dishonour,bu animtia
disinfect,te ho
disintegrate,tete pansam
disinherit,kame awunyadeɛ
disciple,osuani
disclaim,yi ma
disclose,da adi
discolour,sesa ahosuo
disconnect,te mu
disconsolate,deɛ ne werɛ aho pa ara
discontented,deɛ ɛbo nnwo so
discord,ntawantawa
discourage,bu abam
discount,ɛboɔ ntesoɔ
discouragement,abammuo
discuss,susu ho
discover,hunu
discovery,deɛ wɔahwehwɛ ahu no foforɔ
discrepancy,nsonsonoeɛ
discriminate,yiyi mu
discreet,deɛ ɔyɛ ahwɛyie
discrimination,nyiyimu
disdain,animtiabuo
disembark,si fam
discipline,nteteeɛ pa
disarm,gye akodeɛ firi obi ɔman bi nsam
dirty,deɛ ayɛ fi
disaster,atoyerɛnkyɛm
disability,ɛdɛm
disastrous,deɛ ɛde ɔsɛeɛ ba
discard,to twene
disburse,tua sika firi fotoɔ bi mu
discharge,yi obi
director,ɔkandifoɔ
dirt,efi
disabled,deɛ wadi dɛm
disabuse,ma obi hu sɛ biribi nyɛ nokorɛ
disagree,ɛne obi nyɛ adwene
disagreement,ntawantawa
disappear,yera
diminish,ma ɛso te
disagreeable,deɛ ɛmfata
diminutive,deɛ ɛsua pa ara
dimple,afono mu tokuro
dinner,anwummerɛ aduane
dip,de hyɛ mu
diplomacy,amanaman nkutahodie dwuma
direct,deɛ ɛkɔ tee
diffident,deɛ ɔfɛre adeɛ
direction,ɛkwan
difficult,deɛ ɛyɛ den
digest,yam
dignify,hyɛ animuonyam
dignity,animuonyam
digress,twa fa nkyɛn
dilapidated,deɛ atete apansam
dilate,ma ɛtrɛ
diligent,deɛ n ani ku n adwuma ho
dilemma,asɛnkɛseɛ
dictionary,nsɛmfua nkyerɛaseɛ nwoma
dictate,hyɛ
diary,daadaa dwumadie nwoma
diet,nnuane ahodoɔ a wodie
difference,nsonsonoeɛ
different,da nso
devote,tu ho ma
dew,bosuo
devour,we
devotion,ɔsom
devise,bɔ tirimupɔ
dietician,nnuanedie mu nimdefoɔ
devout,deɛ watu ne ho asi hɔ ama ɔsom bi
diabolic,deɛ ɛfiri bonsam
dexterous,deɛ wakwadare biribiyɛ mu
dexterity,biribiyɛ mu nimdeɛ
detest,kyiri kɔkɔkɔkɔ
determination,nwetasoɔ
dethrone,tu adeɛ so
devastate,sɛe
devastation,ɔsɛeɛ
develop,nyini
development,mpuntuo
deviate,kyea
destroy,sɛe
detach,te mu
detain,si kwan
detail,kyerɛkyerɛ mu fann
detect,hunu
detective,opolisini a ɔhwehwɛ nspm mu
detergent,samina pɔɔda
deteriorate,kɔ so ara sɛe
desolate,amamfo so
despair,abammuo
desperate,deɛ n ani abere biribi ho
despise,kyiri kɔkɔkɔ
despoil,wia
despot,deɛ ɔbu ɔman tirimuɔden kwan so
destination,beaeɛ a obi rekɔ
destiny,hyɛbrɛ
deserve,fata
derive,nya firi
design,dwinni
derogatory,deɛ egu anim ase
describe,kyerɛkyerɛ mu
descendant,aseni
description,nkyerɛkyerɛmu
desecrate,gu ho fi
desert,dwane gya
designate,de dwumadie hyɛ obi nsa
jawbone,apantan dompe
jesus,yesu
jailbird,deɛ ɔda fiase
jealous,deɛ ɔyɛ ahoɔyaa
jeer,bɔ tutuo
joiner,nnua dwumayɛfoɔ
join,ka bɔ mu
jubilee,mfedie
joke,nsɛnkwaa
keeper,hwɛsofoɔ
keepsake,nkaedeɛ
kennel,ɔkraman dan
kind,ekuo
pagan,ɔpaefoɔ
pail,bokiti
palmwine,nsafufuo
pale,hoyaa
palmwinepot,akototwua
parable,nhwɛsodeɛ ayɛsɛm
parade,nsrabɔ
paradise,ɔsoro ahemman mu
paraffin,kresin
paramount,pɔn
paranoia,adwenemuka
paramountchief,ɔmanhene
paragon,nhwɛsodeɛ
parasite,aboawa a ɔdidi mmoawa afoforɔ ho
parcel,akyɛdeɛ
pander,hyɛ takrawogyam
panel,agyinatukuo
pang,ɛyeaa prɛkopɛ
panic,ehu
pant,tee so
palpable,deɛ ɛho da hɔ fann
pants,pieto
pantry,nkukuo korabea
pamper,gyegye so
pap,mpampa
papa,papa
par,tipɛn
pair,nta
palmsunday,mmerɛnkɛnson kwasiada
palpitation,akomabɔ
palpitate,bɔ periperi
pamphlet,nwoma sini
pandemonium,basabasayɔ
paint,ka ho aduro
painter,deɛ ɔka nneɛma ho aduro
pal,ɔyɔnkoɔ
palace,ahemfie
palanquin,apakan
palaver,kasahunu
palatial,ɛdan kɛseɛ
labour,ahoɔden dwuma
lacerate,twa honam
lachrymose,deɛ anisuo ataa no
pacify,dwodwo
lack,deɛ ahia obi
lackadaisical,deɛ hwee mfa ne ho
pace,anammɔn
kiss,mfeano
pacification,mpata
pact,apam
padre,ɔsɔfoɔ
kindergarten,mmotafowa sukuu
kingdom,ɔman kuro a ɔhene ɔhemaa bi di so
kindred,abusua
kindle,sɔ
knock,twa koto
knowledge,nimdeɛ
kitten,agyinammoa ba
kolanut,bese
kleptomania,korɔno atenka denden
knave,ɔtorofoɔ
knead,fete
kneel,bu nkotodwe
knit,nwono
knuckle,nsa pɔ
kid,abirekyie ba
koran,nkramofoɔ twerɛ kronkron
label,agyinahyɛdeɛ
laboratory,abɔdeɛ mu mpɛnsɛmpɛnsɛmmubea
kill,kum
laborious,deɛ ne yɔ yɛ den
kettle,dadesɛn afidie a wɔde noa nsuo
kerchief,hankete
kernel,adwe
justice,atɛntenenee
kidnap,kye sie
kin,abusuani
junior,kumaa
junk,deɛ ɛnni mfasoɔ
jurist,mmaranimfoɔ
jury,apamfoɔ
just,pɛpɛɛpɛ
justify,kyerɛ deɛ nti a obi nni fɔ
keen,deɛ n ani ku biribi ho
juvenile,abɔfra
jump,huri
keep,fa
judge,ɔtɛmmuafoɔ
judgement,atɛmmuo
judicature,atɛmmudwuma
judicious,deɛ ɔnim nyansa
jug,bonsuaa
jumble,deɛ atu afra
jumper,gyɔmpa
joy,anigyeɛ
jungle,kwaeɛbiretuo
jostle,pem
jot,twerɛ biribi ntɛm
journal,biribi pɔtee dawurubɔ krataa
jewellery,agudeɛ
jovial,deɛ n anim teɛ
journalist,nsɛntwerɛni
jewel,ɔbohene
jubilant,deɛ ɔredi ahurusie
jeweller,deɛ ɔyɛ agudeɛ ho adwuma
jibe,atɛnnidie
jilt,gyae
job,adwuma
jobbery,kɛtɛasehyɛ
jockey,pɔnkɔkafoɔ
jocose,deɛ ɔyi nsɛnkwaa
adventist,ɔkwanhwɛfoɔ
jehovah,yehowa
jehovahswitness,yehowa danseni
jeopardise,sɛe
jerk,awosoawosoɔ
jest,aseresɛm
jester,nsɛnkwayifoɔ
jackass,afunumu pɔnkɔnini
jacket,aduradeɛ
jackknife,bafo
jackpot,akradeɛ mu sika botire kɛseɛ
jamboree,anigyeɛ aponto kɛseɛ
janitor,ɛdan so hwɛfoɔ
jar,aduane tɔmmɛ
jaunt,anigyeɛ akwantuo
jaw,apantan
parity,pɛpɛɛpɛyɔ
pardon,bɔnefakyɛ
parliament,mmarahyɛbadwa fie
partake,di bi
partiality,nyiyimu
participate,de ho hyɛ mu
patient,ɔyarefoɔ
passenger,ɔkwantuni
persecution,anitan
persevere,tɔ kɔ so
pert,ɔbaa a ɔka n adwene
pay,tua
penetration,nwuramu
pea,adua
peace,asomdwoeɛ
pedal,nan ntiasoɔ
perfection,pɛpɛɛpɛyɔ
persuasion,nnaadaa
pertain,fa ho
pessimist,deɛ ɔhunu bɔne wɔ biribiara mu
pest,ɔhodwanfoɔ
pestilence,owuyaredɔm
pester,ha
pet,ayɛmmoa
petition,ɛdɔm adesrɛ nwoma
petrify,bɔ hu
petrol,pɛtro
petty,deɛ ɛho nhia
phobia,ehu
petulant,deɛ ne koko nyɛ
pew,asɔrefie akonnwa
phantom,ɔsaman
person,nipa
pharmacy,nnuro sotɔɔ
philanthropist,ɔboafoɔ
philology,kasa hodoɔ ho nimdeɛ adesua
philosophy,nyansapɛ
persist,toa so
persistent,deɛ ɔmpa aba
personal,ankasa
permeate,wurawura
personality,su
perspire,te mfifire
perspiration,mfifire
persuade,daadaa
perjury,ntanhunu ka
perky,deɛ n anim teɛ
permanent,deɛ ɛyɛ afebɔɔ
perpetual,deɛ ɛyɛ afebɔɔ
perpetrate,di bɔne
perpetuate,toa so
perplex,yɛ basaa
permit,ma ho kwan
perfidy,hwammɔdie
perfume,aduhwam
persecute,taa ani
per,biara
perforate,tu mu tokuro
perform,di dwuma
performance,dwumadie
periodical,berɛ ano berɛ ano
perish,hwere nkwa
perjure,ka ntanhunu
pedestrian,ɔnantefoɔ
peep,hwɛ
pedigree,abusua
peer,hwɛ haa
peg,pɛɛwa
pension,ahomegyeɛ mu akatua
pelican,pokupoku
penalty,asotwe
pending,deɛ ɛkonkɔn hɔ
people,nnipa
penetrate,wura mu
penitent,deɛ wanu ne ho
penknife,bafo
perfect,deɛ ɛho twa
penny,kaprɛ
pensive,deɛ n adwene wɔ akyiri
perceive,hu
perennial,afebɔɔ
peak,mpɛmpɛnso kɛseɛ
peaceful,deɛ ɛho dwo
peasant,okuani
pebble,abosea
peck,sɔ
peculiar,soronko
pecuniary,deɛ ɛfa sika ho
patriarch,abusuapanin
partridge,akokɔhwedeɛ
passion,nna mu akɔnnɔ
patrimony,agyapadeɛ
patrol,bɔ nsra
patron,okyitaafoɔ
patronage,mmoa
paste,de tare
pauper,ohiani
pavilion,ntomadan
pawn,de si awowa
past,kane
path,anammɔnkwan
patch,pam
patent,nkutoo adeyɔ
paternal,agya fa mu
partner,ɔboafoɔ
pathetic,deɛ ne werɛ ahoɔ
partnership,ayɔnkofa
pathology,nyarewa mu nhwehwɛmu
pass,sene ho
particular,pɔtee
partisan,amanyɔkuo kyitaafoɔ
party,apontoɔ
passage,ɛkwan
parliamentary,deɛ ɛfa mmarahyɛbadwa ho
parlour,
parody,fɛwdie
parricide,ɔwofokum
parrot,ako
parson,ɔsɔfoɔ
part,ɛfa
photo,mfoni
phoney,deɛ ɛyɛ atorɔ
photograph,mfoni
pierce,bɔne mu tokuro
placid,da dinn
place,beaeɛ
plaster,de fam ho
pledge,bɔhyɛ
plunder,wia
posterity,nkyirimma
plunge,tɔ mu
predict,hyɛ nkɔm
poetry,anwonsɛm
populous,beaeɛ a nnipa dɔɔso hɔ
postmortem,owuo mu nhwehwɛmu
pouch,bɔtɔ ketewa
pregnant,deɛ ɔnyem
precautionary,deɛ wɔde si biribi bɔne ho kwan
predicament,asiane
postpone,tu hyɛ da
predominate,gye fa
prefect,opanin
prefer,pɛ sene
pregnancy,nyinsɛn
prejudice,nnipakuo bi ho tirimupɔ bɔne
prehistoric,tete
preliminary,deɛ ɛdi kan
precede,di anim
precept,ahyɛdeɛ
precious,ɛsom bo
precise,pɛpɛɛpɛ
preconceive,dwene ho sie
preclude,si kwan
preconceived,deɛ wɔadwene ho asie
poverty,ohia
predecessor,ɔkannifoɔ
predestined,deɛ ɔbɔadeɛ ahyehyɛ ato hɔ dada
poultry,efie ntakrammoa
pounce,to hyɛ so
pour,hwie
practise,kɔ so yɛ
mesh,mmɛsa
powder,pɔɔda
power,tumi
powerful,deɛ ɔwɔ tumi
pray,bɔ mpaeɛ
praise,yi ayɛ
practitioner,odwumadifoɔ
potable,korogyee
prance,hurihuri
pot,kukuo
prate,toatoa
prattle,toatoa
prawn,ɔbɔnkɔ
potter,okukudwinnifoɔ
preamble,nnianimu
precaution,ahwɛyie
posture,bɔbea
postponement,ntuhyɛda
potent,tatahwe
positive,deɛ ɔwɔ awerɛhyɛmu
potion,aduro
pothole,bɔnka
portrait,nipa anim mfonin
postoffice,nkratobea
posh,deɛ ne boɔ yɛ den
pose,de haw ba
position,dibea
possess,wɔ
possible,deɛ ɛbɛtumi asi
post,de tare
poster,amannebɔ krataa
porch,abrannaa
pore,honam ani ntokuro nketenkete
porridge,koko
port,suhyɛn gyinabea
porter,ɔpono ano hwɛfoɔ
portable,deɛ wɔtumi pagya kɔ baabi
portion,kyɛfa
portfolio,mfonin kotokuo
portmanteau,potomanto
point,ano
poise,animuonyam
poison,awuduro
pole,dua teaa
poke,perɛ
popular,deɛ wagye din
policy,nhyehyɛeɛ
populate,kan ɔman mu nnipa
population,ɔman mu nnipa dodoɔ
pocket,bɔtɔ
plural,dodoɔ
plus,ne
play,di agorɔ
plywood,taaboo traa
pneumatic,deɛ mframa gyina mu
pneumonia,ahrawa mu yareɛ
poach,wia obi mmoa
pod,abena
pleasure,anigyeɛ
plastic,rɔba
platform,taaboo nnyinasoɔ
plenty,pii
plea,akyɛwpa
plead,pa kyɛw
pleasant,deɛ ɛyɛ fɛ
pleat,mmobɔsoɔ
plebiscite,ntontobɔ
plight,tebea
plod,nante brɛoo
plagiarise,wia ɔfoforɔ adwuma
plough,
plot,
pluck,
plug,ntuano
plait,bɔ
plan,tirimupɔ
plumage,ntakra
piety,ahoteɛ
plump,deɛ ɔso
pigeon,aborɔnoma
plague,nsaneyareɛ
plagiarism,korɔnobɔ
plaintiff,sobɔfoɔ
plane,wiemhyɛn
plantation,afuo
pirate,ɛpo so dwotwafoɔ
pilgrimage,akwantuo
pill,aduro
pilot,wiemhyɛnkafoɔ
pitch,agoprama so
pimple,anim nsaa
pioneer,ɔkannifoɔ
pinpoint,kyerɛ pɛpɛɛpɛ
pipe,dorobɛn
piracy,ɛpo so korɔno
pistol,etusini
pit,amena
piteous,mmɔbɔ
pitfall,afidie
pittance,sika ketewa bi
placard,ɔyɛkyerɛ taaboo
placate,dwodwo akoma
physique,bɔbea
physician,ɔyaresafoɔ
pick,yi
pickpocket,ɔtotobɔtomuni
picket,bɔ sesee
picture,mfonim
piece,ɛfa
private,deɛ ɛwɔ ankorɛankorɛ
prelude,mfitiaseɛ
premeditate,dwene ho sie
premier,deɛ ɛho hia kane
premature,deɛ ɛsi ntɛm
primate,ɔsɔfo panin
prison,afiase
priority,deɛ ɛho hia pa ara
privacy,kokoam
privilege,akwannya
prize,abasobɔdeɛ
probation,sɔhwɛberɛ
profuse,deɛ ɛboro so
profusion,mmorosoɔ
progeny,asefoɔ
provide,ma
public,badwam
publication,nnwoma tintim ho adwuma
publicity,dawurubɔ
pugnacious,deɛ ɔpɛ ntɔkwa
publish,tintim nnwoma
pullover,sowata
pull,twe
pulpit,ɔsɛnkafoɔ dwa
pulsate,bɔ
provoke,hyɛ abufuo
pulsating,deɛ ɛrebɔ
province,mantam
provocation,abufuhyɛ
prowess,nimdeɛ
provocative,deɛ ɛhyɛ abufuo
pseudo,deɛ ɛyɛ kontompo
psalm,dawid nnwom
protect,bɔ ho ban
psychopath,deɛ n adwene nyɛ
puberty,mpanimfeɛ so
protocol,nhyehyɛeɛ
prostitute,odwamanfoɔ
proud,ani gye ho
protection,ahobammɔ
protege,deɛ ɔwɔ ahobammɔ
protest,kasa tia
protrude,pue firi
prove,da mu nokorɛ adi
proverbial,deɛ wɔtaa ka
propel,pia
proper,papa
proprietor,owura
property,agyapadeɛ
prophesy,hyɛ nkɔm
proposal,tirimupɔ
prophecy,nkɔmhyɛ
prosecution,kwaadubɔ
prosper,yɛ yie
programme,dwumadie
prosperity,nkɔsoɔ
prolific,deɛ ɔto atena pii
progress,kankorɔ
prohibit,si ho kwan
prohibition,ahobra
project,dwumadie
prominent,deɛ ɔyɛ kunini
prolong,ma ɛkyɛ
promiscuous,deɛ ɔyɛ dwamanfoɔ
promiscuity,adwamammɔ
promote,yɛ ho dede
promotion,dawurubɔ
prompt,mprempren
promulgate,da adi
pronounce,ka
proof,adanseɛ
propagate,ma aseɛ dɔre
produce,yɛ
profane,deɛ ɛho nte
product,adwadeɛ
profess,pae mu ka
profanity,kasafi
profession,adwuma
proficient,deɛ wakwadare biribiyɔ mu
profit,mfasoɔ
profitable,deɛ mfasoɔ wɔ mu
profiteer,deɛ ɔnya sika kwammɔne so
procedure,ɔkwan
proceed,toa so
process,ɛkwan
prodigal,hohwini
proclaim,da adi
procession,santene
procrastinate,twetwe nan ase
proclamation,adansedie
problem,ɔhaw
procrastination,mmɔtohɔ
procure,nya
probe,hwehwɛ mu
principle,gyedie
probity,nokorɛdie
print,tintim
prime,titire
primer,ahyɛaseɛ nwoma
primitive,deɛ ɛfiri tete
prince,ɔhene ba barima
princess,ɔhene ba baa
president,ɔmanpanin
principal,titenani
prestige,animuonyam
prior,kane
present,mprempren
preserve,bɔ ho ban
preside,tena pono ti
preservation,bammɔ
press,mia
presume,susu sɛ
previous,deɛ atwam
presumption,nsusuiɛ
pretend,patu
pretty,deɛ ne ho twa
priest,ɔsɔfoɔ
prevail,di so nkonim
prevent,si kwan
prevention,akwansideɛ
priceless,deɛ ɛsom bo
price,ɛboɔ
prickle,awɔse
premonition,ehu
primary,titire
preoccupied,deɛ n adwene wɔ akyirikyiri
prepare,boa ho
preparation,ahoboa
preparatory,deɛ wɔyɛ no kane
prescribe,twerɛ aduro ma
pumpkin,ɛferɛ
put,to
pulverise,sɛe
pummel,bobɔ
punch,bɔ
pupil,osukuuni
querulous,deɛ ɔkwane
quench,kum sukɔm
quiz,sɔwoadwenehwɛ dwumadie
rainbow,nyankontɔn
quorum,nnipa dodoɔ
quota,kyɛfa
rain,osuo
recommendation,abɔdinkyerɛ
railway,keteke kwan
rape,mmonnaatoɔ
ravage,sɛe
rattle,kasa
recollection,nkaeɛ
recollect,kae
record,ntwerɛtohɔ
recommend,kamfo ma
recompense,pata
receive,gye
reconcile,ka bom
reconciliation,nsiesie
reconvalesce,nya ahosan bio
recourse,anidasoɔ
recant,dane ano
recantation,ntwesan
receipt,adansedie krataa
recent,deɛ ɛsiiɛ nkyɛeɛ
reception,ɔgyeɛ
recitation,nkankyeɛ
recite,ka firi tirim
reckon,bu
recognize,hunu
ravish,to mmonnaa
raw,mono
raze,dwiri gu
razor,yiwan
reason,asɛm ase
react,yɛ ho biribi
ready,krado
realise,hunu
real,kann
realm,ahemman
reap,twa
rear,akyire
rebel,otuatefoɔ
reassure,ka akoma to yam
rebellion,atuateɛ
rare,ɛntaa si
rebuild,si bio
rebuke,twi anim
recall,kae
rapid,ntɛm so
rapport,ayɔnkofa
raise,pagya
rascal,ɔsesafoɔ
rash,huuhuu
rate,dodoɔ
ratify,de nsa hyɛ aseɛ
ration,kyɛfa
rational,deɛ ɛtɔ asom
ragamuffin,deɛ ɔnhwɛ n ahosiesie mu yie
rage,abufuhyew
ragged,deɛ n atadeɛ atete
rally,nhyiamu kɛseɛ
rake,ntwesoɔ dadeɛ
ramble,nanteɛ
rampage,yɛ basabasa
ramshackle,ɛdan a agoɔ
ranch,nantwiyɛnbea
rancid,asɛe
rancour,anitan
rabble,akwasampafoɔ kuo
random,biara biara
range,fiti de kɔsi
rank,dibea
ransom,mpatasika
racket,dede
ransack,pansam
quote,ka no sɛdeɛ ɔfoforɔ aka no pɛpɛɛpɛ
quotationmark,nkatomdeɛ
rabid,deɛ ne gyedie wɔ biribi mu boro so
race,ammirikatuo akansie
racy,deɛ ɛyɛ anika
quire,nkrataa aduonu nan
queue,santene
quick,ntɛm
quibble,gye akyinnye hunu
quiescent,berɛ a wɔnyɛ hwee
quill,takra
quinine,kunii
quit,gyae
qualm,ehu
queen,ɔhemmaa
quantity,dodoɔ
quandary,ntantadwene
quarantine,akoraeɛ
quarry,abopaebea
quarrel,ntɔkwa
quarter,nkyemu anan mu baako
queasy,deɛ ne bo fono no
puppy,ɔkraman ba
quell,ma ɛtoɔ twa
purchase,tɔ
pure,korogyee
purge,te ho
pussy,agyinamoa
purgative,afaseduro
purify,te ho
purpose,botaeɛ
push,pia
purvey,ka kyerɛ
python,onini
goosepimples,awɔse
goosebumps,awɔse
quail,aboko
quake,woso
quadrate,ahinanan
punish,twe aso
quack,bradɛtofoɔ
qualify,fata sɛ
punctual,deɛ ɔdi mmerɛ so
puncture,tu tokuro
pundit,onimdefoɔ
punishment,asotwe
punitive,deɛ wɔde twe aso
recover,nya ahotɔ
recovery,ahosan
reduplication,mmɔho
reform,sesa mu
refresh,ma ahoɔden foforɔ
reformation,nsesaeɛ
regiment,asraafokuo
register,dinfrɛ nwoma
regret,nu ho
unawares,mpofirim
underling,deɛ ne dibea wɔ fam
unbalance,woso
undermine,twitwa anan mu
underneath,deɛ ɛwɔ biribi ase pɛɛ
vaccine,aduro
variable,deɛ ɛtumi sesa
vehicle,ɛhyɛn
vendor,adetɔnni
vegetation,mfudeɛ
variety,soronko
vegetarian,deɛ ɔnwe nammono
venereal,nna mu yareɛ
various,ahodoɔ ahodoɔ
vary,sakra mu
vehement,denneennen
veil,nkataanim
vendetta,abusua ntɔkwa
velocity,biribi ntɛm
venerate,kyerɛ obuo
variation,nsesaeɛ
vase,nhwiren kukuo
vast,kakraa
vaunt,dwa anom
veal,nantwie ba nam
veer,fom kwan
valley,amena
vanity,ahuhudeɛ
valour,akokoɔduro
value,ɛboɔ
vanquish,di so nkonim
valuable,ɛsom bo
vampire,deɛ ɔnom afoforɔ mogya
vanish,yera
vandal,ɔsɛefoɔ
vandalism,basabasayɔ
vacuous,deɛ nyansa nnim
vagabond,ɔsesafoɔ
vagary,putupuru nsesaeɛ
vagrant,ɔsesafoɔ
vague,kusuu
undue,ntrasoɔ
vain,deɛ otu ne ho
valiant,deɛ ɔwɔ akokoɔduro
valid,deɛ ɛfa kwan mu
undress,worɔ ho
valise,akwantuo kotokuo ketewa
unearth,tu nya
uneasy,ahoyera
unfailing,deɛ ɛnni mfomsoɔ
vacate,gya baabi
vacancy,ɛkwan
vacant,atɔ mpan
vacation,akwamma
vaccinate,sɔ aduro
understanding,nteaseɛ
underrate,bu abomfeaa
undertake,gye yɛ
undertaker,funsiefoɔ
underdone,deɛ ɛmmeneeɛ
undertaking,bɔhyɛ
underwear,pieto
undo,sane
undercut,te boɔ so
underdog,deɛ wɔnsusu sɛ ɔbɛdi nkonim wɔ akansie mu
underground,asase ase
undergo,fa mu
undergrowth,mfudeɛ
underhand,kokoam dwumadie
underlie,da aseɛ
underarm,amɔtoam
unbecoming,deɛ ɛnyɛ fɛ
underline,san aseɛ
unbend,tene
unburden,yi adesoa
uncalled,deɛ wɔntoo wɔn nsa mfrɛɛ no
uncanny,nwanwa
regulation,mmara
uncouth,deɛ n ani mmueeɛ
unctuous,nnyegyesoɔ mmorosoɔ
regular,deɛ ɛda ne kwan mu
under,aseɛ
regulate,ma ɛyɛ adwuma sɛ deɛ ɛsɛ
rehearse,boa wo ho
reign,di hene
homicide,nipakum
unassuming,deɛ ɔbrɛ ne ho ase
refuge,dwankɔbea
refund,dane ma
refuse,kyerɛ sɛ wonyɛ biribi
regain,san nya
regard,bu
reed,demmere
reef,ɛpo mu botan
reel,hinhim
refer,bɔ din
reference,ntotoho
referee,ɔsɛntwamfoɔ
regardless,ɛmfa ho ne
regent,ɔmankrado
redeem,gye
reflection,adwennwene
recreation,akwahosan
rectify,siesie
redden,bere
redemption,ɔgyeɛ
reduce,te so
refine,te ho
reflect,dwene
reduction,ntesoɔ
reduplicate,bɔ ho
venom,ɛborɔ
vengeance,bɔne so akatua
vent,tokuro
verdant,ahabammono
vile,ɛnyɛ koraa
verdict,atɛn
village,akuraase
vest,deɛ wɔhyɛ no atadeɛ ase
vicinity,mpɔtam
vessel,suhyɛn
visible,pefee
volunteer,deɛ ɔfiri ne pɛ mu reyɛ biribi
voluntary,tuwohoakyɛ
waffle,toatoa
wallet,sika bɔtɔ ketewa
wary,ahwɛyie
weak,mmerɛ
wean,twa nufoɔ
weaverbird,akyem
wee,ketewa
weapon,akodeɛ
weary,brɛ
weave,nwene
web,ntontan
wed,ware
week,nnawɔtwe
warden,beaeɛ bi so hwɛfoɔ
warder,afiase hwɛfoɔ
warfare,ɔko
warrior,ɔkofoɔ
warm,hyew
warmth,ɔhyew
